gene,chr,start,end,strand,attributes
534M_031.911,chr1,27059808,27060017,+,"{'ID': '534M_031.911', 'Name': '534M_031.911'}"
534M_031.912,chr1,27060567,27061715,-,"{'ID': '534M_031.912', 'Name': '534M_031.912'}"
534M_031.913,chr1,27063354,27063578,-,"{'ID': '534M_031.913', 'Name': '534M_031.913'}"
534M_031.914,chr1,27071936,27072343,+,"{'ID': '534M_031.914', 'Name': '534M_031.914'}"
534M_031.915,chr1,27082956,27083486,+,"{'ID': '534M_031.915', 'Name': '534M_031.915'}"
534M_031.916,chr1,27085224,27086316,-,"{'ID': '534M_031.916', 'Name': '534M_031.916'}"
534M_031.917,chr1,27102785,27108991,+,"{'ID': '534M_031.917', 'Name': '534M_031.917'}"
534M_031.918,chr1,27123640,27125667,+,"{'ID': '534M_031.918', 'Name': '534M_031.918'}"
534M_031.919,chr1,27130482,27134492,-,"{'ID': '534M_031.919', 'Name': '534M_031.919'}"
534M_031.920,chr1,27139613,27140812,+,"{'ID': '534M_031.920', 'Name': '534M_031.920'}"
534M_031.921,chr1,27145732,27148033,+,"{'ID': '534M_031.921', 'Name': '534M_031.921'}"
534M_031.922,chr1,27149595,27150986,-,"{'ID': '534M_031.922', 'Name': '534M_031.922'}"
534M_031.923,chr1,27153080,27155089,+,"{'ID': '534M_031.923', 'Name': '534M_031.923'}"
534M_031.924,chr1,27160299,27161786,-,"{'ID': '534M_031.924', 'Name': '534M_031.924'}"
534M_031.925,chr1,27184661,27186801,-,"{'ID': '534M_031.925', 'Name': '534M_031.925'}"
534M_031.926,chr1,27191173,27192590,+,"{'ID': '534M_031.926', 'Name': '534M_031.926'}"
534M_031.927,chr1,27194365,27198206,-,"{'ID': '534M_031.927', 'Name': '534M_031.927'}"
534M_031.928,chr1,27208794,27209063,-,"{'ID': '534M_031.928', 'Name': '534M_031.928'}"
534M_031.929,chr1,27226361,27230045,+,"{'ID': '534M_031.929', 'Name': '534M_031.929'}"
534M_031.930,chr1,27231328,27231681,-,"{'ID': '534M_031.930', 'Name': '534M_031.930'}"
534M_031.931,chr1,27234670,27240516,-,"{'ID': '534M_031.931', 'Name': '534M_031.931'}"
534M_031.932,chr1,27243549,27243797,+,"{'ID': '534M_031.932', 'Name': '534M_031.932'}"
534M_022.310,chr1,27269683,27270009,+,"{'ID': '534M_022.310', 'Name': '534M_022.310'}"
534M_022.309,chr1,27276278,27276989,-,"{'ID': '534M_022.309', 'Name': '534M_022.309'}"
534M_022.308,chr1,27278346,27280509,+,"{'ID': '534M_022.308', 'Name': '534M_022.308'}"
534M_022.307,chr1,27282639,27282956,-,"{'ID': '534M_022.307', 'Name': '534M_022.307'}"
534M_022.306,chr1,27284431,27285950,+,"{'ID': '534M_022.306', 'Name': '534M_022.306'}"
534M_022.305,chr1,27290493,27291568,-,"{'ID': '534M_022.305', 'Name': '534M_022.305'}"
534M_022.304,chr1,27293810,27294160,-,"{'ID': '534M_022.304', 'Name': '534M_022.304'}"
534M_022.303,chr1,27298368,27304197,+,"{'ID': '534M_022.303', 'Name': '534M_022.303'}"
534M_022.302,chr1,27305264,27308575,+,"{'ID': '534M_022.302', 'Name': '534M_022.302'}"
534M_022.301,chr1,27312507,27315636,+,"{'ID': '534M_022.301', 'Name': '534M_022.301'}"
534M_022.300,chr1,27317185,27321298,+,"{'ID': '534M_022.300', 'Name': '534M_022.300'}"
534M_022.299,chr1,27327208,27329490,+,"{'ID': '534M_022.299', 'Name': '534M_022.299'}"
534M_022.298,chr1,27335085,27342477,+,"{'ID': '534M_022.298', 'Name': '534M_022.298'}"
534M_022.297,chr1,27354178,27378598,+,"{'ID': '534M_022.297', 'Name': '534M_022.297'}"
534M_022.296,chr1,27391244,27392692,+,"{'ID': '534M_022.296', 'Name': '534M_022.296'}"
534M_022.295,chr1,27394649,27396640,+,"{'ID': '534M_022.295', 'Name': '534M_022.295'}"
534M_022.294,chr1,27397617,27399413,+,"{'ID': '534M_022.294', 'Name': '534M_022.294'}"
534M_022.293,chr1,27401098,27403011,+,"{'ID': '534M_022.293', 'Name': '534M_022.293'}"
534M_022.292,chr1,27404597,27407308,+,"{'ID': '534M_022.292', 'Name': '534M_022.292'}"
534M_022.291,chr1,27410823,27415812,+,"{'ID': '534M_022.291', 'Name': '534M_022.291'}"
534M_022.290,chr1,27416406,27417476,+,"{'ID': '534M_022.290', 'Name': '534M_022.290'}"
534M_022.289,chr1,27420320,27420815,-,"{'ID': '534M_022.289', 'Name': '534M_022.289'}"
534M_022.288,chr1,27421423,27421722,-,"{'ID': '534M_022.288', 'Name': '534M_022.288'}"
534M_022.287,chr1,27425905,27428961,+,"{'ID': '534M_022.287', 'Name': '534M_022.287'}"
534M_022.286,chr1,27430732,27431274,-,"{'ID': '534M_022.286', 'Name': '534M_022.286'}"
534M_022.285,chr1,27453526,27457896,+,"{'ID': '534M_022.285', 'Name': '534M_022.285'}"
534M_022.284,chr1,27458571,27462783,-,"{'ID': '534M_022.284', 'Name': '534M_022.284'}"
534M_022.283,chr1,27466156,27466906,+,"{'ID': '534M_022.283', 'Name': '534M_022.283'}"
534M_022.282,chr1,27472512,27475674,-,"{'ID': '534M_022.282', 'Name': '534M_022.282'}"
534M_022.281,chr1,27480986,27484653,+,"{'ID': '534M_022.281', 'Name': '534M_022.281'}"
534M_022.280,chr1,27487014,27487424,+,"{'ID': '534M_022.280', 'Name': '534M_022.280'}"
534M_022.279,chr1,27490595,27491977,-,"{'ID': '534M_022.279', 'Name': '534M_022.279'}"
534M_022.278,chr1,27503654,27504935,-,"{'ID': '534M_022.278', 'Name': '534M_022.278'}"
534M_022.277,chr1,27509182,27510693,+,"{'ID': '534M_022.277', 'Name': '534M_022.277'}"
534M_022.276,chr1,27512353,27512583,-,"{'ID': '534M_022.276', 'Name': '534M_022.276'}"
534M_022.275,chr1,27513785,27518707,-,"{'ID': '534M_022.275', 'Name': '534M_022.275'}"
534M_022.274,chr1,27520363,27525677,-,"{'ID': '534M_022.274', 'Name': '534M_022.274'}"
534M_022.273,chr1,27526395,27527317,+,"{'ID': '534M_022.273', 'Name': '534M_022.273'}"
534M_022.272,chr1,27527858,27530672,-,"{'ID': '534M_022.272', 'Name': '534M_022.272'}"
534M_022.271,chr1,27545791,27545970,-,"{'ID': '534M_022.271', 'Name': '534M_022.271'}"
534M_022.270,chr1,27546198,27548922,+,"{'ID': '534M_022.270', 'Name': '534M_022.270'}"
534M_022.269,chr1,27550403,27562174,-,"{'ID': '534M_022.269', 'Name': '534M_022.269'}"
534M_022.268,chr1,27611340,27617918,+,"{'ID': '534M_022.268', 'Name': '534M_022.268'}"
534M_022.267,chr1,27620281,27623882,-,"{'ID': '534M_022.267', 'Name': '534M_022.267'}"
534M_022.266,chr1,27624329,27628252,+,"{'ID': '534M_022.266', 'Name': '534M_022.266'}"
534M_022.265,chr1,27628793,27629044,-,"{'ID': '534M_022.265', 'Name': '534M_022.265'}"
534M_022.264,chr1,27630052,27633641,-,"{'ID': '534M_022.264', 'Name': '534M_022.264'}"
534M_022.263,chr1,27637038,27637883,-,"{'ID': '534M_022.263', 'Name': '534M_022.263'}"
534M_022.262,chr1,27640968,27641591,+,"{'ID': '534M_022.262', 'Name': '534M_022.262'}"
534M_022.261,chr1,27646887,27648782,+,"{'ID': '534M_022.261', 'Name': '534M_022.261'}"
534M_022.260,chr1,27653355,27653909,-,"{'ID': '534M_022.260', 'Name': '534M_022.260'}"
534M_022.259,chr1,27659171,27661782,+,"{'ID': '534M_022.259', 'Name': '534M_022.259'}"
534M_022.258,chr1,27668112,27675310,+,"{'ID': '534M_022.258', 'Name': '534M_022.258'}"
534M_022.257,chr1,27678277,27684119,-,"{'ID': '534M_022.257', 'Name': '534M_022.257'}"
534M_022.256,chr1,27687847,27693594,+,"{'ID': '534M_022.256', 'Name': '534M_022.256'}"
534M_022.255,chr1,27695381,27700220,+,"{'ID': '534M_022.255', 'Name': '534M_022.255'}"
534M_022.254,chr1,27704835,27712516,+,"{'ID': '534M_022.254', 'Name': '534M_022.254'}"
534M_022.253,chr1,27728797,27733855,+,"{'ID': '534M_022.253', 'Name': '534M_022.253'}"
534M_022.252,chr1,27735762,27736082,-,"{'ID': '534M_022.252', 'Name': '534M_022.252'}"
534M_022.251,chr1,27743315,27744510,-,"{'ID': '534M_022.251', 'Name': '534M_022.251'}"
534M_022.250,chr1,27755404,27761967,-,"{'ID': '534M_022.250', 'Name': '534M_022.250'}"
534M_022.249,chr1,27765059,27765466,-,"{'ID': '534M_022.249', 'Name': '534M_022.249'}"
534M_022.248,chr1,27773787,27777851,+,"{'ID': '534M_022.248', 'Name': '534M_022.248'}"
534M_022.247,chr1,27778778,27780421,+,"{'ID': '534M_022.247', 'Name': '534M_022.247'}"
534M_022.246,chr1,27781100,27782859,-,"{'ID': '534M_022.246', 'Name': '534M_022.246'}"
534M_022.245,chr1,27788128,27788370,-,"{'ID': '534M_022.245', 'Name': '534M_022.245'}"
534M_022.244,chr1,27789230,27790114,-,"{'ID': '534M_022.244', 'Name': '534M_022.244'}"
534M_022.243,chr1,27825322,27828138,-,"{'ID': '534M_022.243', 'Name': '534M_022.243'}"
534M_022.242,chr1,27829476,27832724,-,"{'ID': '534M_022.242', 'Name': '534M_022.242'}"
534M_022.241,chr1,27834587,27835978,+,"{'ID': '534M_022.241', 'Name': '534M_022.241'}"
534M_022.240,chr1,27836338,27839564,-,"{'ID': '534M_022.240', 'Name': '534M_022.240'}"
534M_022.239,chr1,27840311,27840565,-,"{'ID': '534M_022.239', 'Name': '534M_022.239'}"
534M_022.238,chr1,27844701,27847854,-,"{'ID': '534M_022.238', 'Name': '534M_022.238'}"
534M_022.237,chr1,27856339,27860551,+,"{'ID': '534M_022.237', 'Name': '534M_022.237'}"
534M_022.236,chr1,27885703,27886593,+,"{'ID': '534M_022.236', 'Name': '534M_022.236'}"
534M_022.235,chr1,27897751,27898971,+,"{'ID': '534M_022.235', 'Name': '534M_022.235'}"
534M_022.234,chr1,27903308,27903733,-,"{'ID': '534M_022.234', 'Name': '534M_022.234'}"
534M_022.233,chr1,27910073,27910978,+,"{'ID': '534M_022.233', 'Name': '534M_022.233'}"
534M_022.232,chr1,27911570,27911758,-,"{'ID': '534M_022.232', 'Name': '534M_022.232'}"
534M_022.231,chr1,27912506,27920109,-,"{'ID': '534M_022.231', 'Name': '534M_022.231'}"
534M_022.230,chr1,27935865,27936938,-,"{'ID': '534M_022.230', 'Name': '534M_022.230'}"
534M_022.229,chr1,27939451,27939837,+,"{'ID': '534M_022.229', 'Name': '534M_022.229'}"
534M_022.228,chr1,27946207,27947436,-,"{'ID': '534M_022.228', 'Name': '534M_022.228'}"
534M_022.227,chr1,27963106,27963705,-,"{'ID': '534M_022.227', 'Name': '534M_022.227'}"
534M_022.226,chr1,27966317,27968269,+,"{'ID': '534M_022.226', 'Name': '534M_022.226'}"
534M_022.225,chr1,27970249,27982186,+,"{'ID': '534M_022.225', 'Name': '534M_022.225'}"
534M_022.224,chr1,27984449,27985246,-,"{'ID': '534M_022.224', 'Name': '534M_022.224'}"
534M_022.223,chr1,27988320,27988967,-,"{'ID': '534M_022.223', 'Name': '534M_022.223'}"
534M_022.222,chr1,28009102,28009479,+,"{'ID': '534M_022.222', 'Name': '534M_022.222'}"
534M_022.221,chr1,28015380,28015589,+,"{'ID': '534M_022.221', 'Name': '534M_022.221'}"
534M_022.220,chr1,28018965,28019522,+,"{'ID': '534M_022.220', 'Name': '534M_022.220'}"
534M_022.219,chr1,28024914,28027476,-,"{'ID': '534M_022.219', 'Name': '534M_022.219'}"
534M_022.218,chr1,28028396,28031628,-,"{'ID': '534M_022.218', 'Name': '534M_022.218'}"
534M_022.217,chr1,28033063,28033952,-,"{'ID': '534M_022.217', 'Name': '534M_022.217'}"
534M_022.216,chr1,28040992,28041267,-,"{'ID': '534M_022.216', 'Name': '534M_022.216'}"
534M_022.215,chr1,28049946,28052125,+,"{'ID': '534M_022.215', 'Name': '534M_022.215'}"
534M_022.214,chr1,28055239,28058644,+,"{'ID': '534M_022.214', 'Name': '534M_022.214'}"
534M_022.213,chr1,28059329,28065356,-,"{'ID': '534M_022.213', 'Name': '534M_022.213'}"
534M_022.212,chr1,28069283,28075001,+,"{'ID': '534M_022.212', 'Name': '534M_022.212'}"
534M_022.211,chr1,28077483,28083725,-,"{'ID': '534M_022.211', 'Name': '534M_022.211'}"
534M_022.210,chr1,28086332,28087256,+,"{'ID': '534M_022.210', 'Name': '534M_022.210'}"
534M_022.209,chr1,28089348,28093808,+,"{'ID': '534M_022.209', 'Name': '534M_022.209'}"
534M_022.208,chr1,28111388,28115791,+,"{'ID': '534M_022.208', 'Name': '534M_022.208'}"
534M_022.207,chr1,28117699,28119924,-,"{'ID': '534M_022.207', 'Name': '534M_022.207'}"
534M_022.206,chr1,28129138,28129380,+,"{'ID': '534M_022.206', 'Name': '534M_022.206'}"
534M_022.205,chr1,28133928,28136298,+,"{'ID': '534M_022.205', 'Name': '534M_022.205'}"
534M_022.204,chr1,28137148,28137699,+,"{'ID': '534M_022.204', 'Name': '534M_022.204'}"
534M_022.203,chr1,28139524,28140156,+,"{'ID': '534M_022.203', 'Name': '534M_022.203'}"
534M_022.202,chr1,28151648,28151962,-,"{'ID': '534M_022.202', 'Name': '534M_022.202'}"
534M_022.201,chr1,28153496,28163998,+,"{'ID': '534M_022.201', 'Name': '534M_022.201'}"
534M_022.200,chr1,28165092,28168553,-,"{'ID': '534M_022.200', 'Name': '534M_022.200'}"
534M_022.199,chr1,28171234,28176497,+,"{'ID': '534M_022.199', 'Name': '534M_022.199'}"
534M_022.198,chr1,28181907,28184190,-,"{'ID': '534M_022.198', 'Name': '534M_022.198'}"
534M_022.197,chr1,28184853,28185062,-,"{'ID': '534M_022.197', 'Name': '534M_022.197'}"
534M_022.196,chr1,28231465,28232010,+,"{'ID': '534M_022.196', 'Name': '534M_022.196'}"
534M_022.195,chr1,28237759,28241217,-,"{'ID': '534M_022.195', 'Name': '534M_022.195'}"
534M_022.194,chr1,28247803,28250848,+,"{'ID': '534M_022.194', 'Name': '534M_022.194'}"
534M_022.193,chr1,28251478,28253699,-,"{'ID': '534M_022.193', 'Name': '534M_022.193'}"
534M_022.192,chr1,28254850,28257149,-,"{'ID': '534M_022.192', 'Name': '534M_022.192'}"
534M_022.191,chr1,28257543,28258918,+,"{'ID': '534M_022.191', 'Name': '534M_022.191'}"
534M_022.190,chr1,28268753,28277465,+,"{'ID': '534M_022.190', 'Name': '534M_022.190'}"
534M_022.189,chr1,28278141,28279650,-,"{'ID': '534M_022.189', 'Name': '534M_022.189'}"
534M_022.188,chr1,28280467,28281675,-,"{'ID': '534M_022.188', 'Name': '534M_022.188'}"
534M_022.187,chr1,28283031,28285241,-,"{'ID': '534M_022.187', 'Name': '534M_022.187'}"
534M_022.186,chr1,28286231,28289474,-,"{'ID': '534M_022.186', 'Name': '534M_022.186'}"
534M_022.185,chr1,28292382,28295672,+,"{'ID': '534M_022.185', 'Name': '534M_022.185'}"
534M_022.184,chr1,28303152,28306840,-,"{'ID': '534M_022.184', 'Name': '534M_022.184'}"
534M_022.183,chr1,28314378,28314704,-,"{'ID': '534M_022.183', 'Name': '534M_022.183'}"
534M_022.182,chr1,28316073,28317156,+,"{'ID': '534M_022.182', 'Name': '534M_022.182'}"
534M_022.181,chr1,28317945,28321763,-,"{'ID': '534M_022.181', 'Name': '534M_022.181'}"
534M_022.180,chr1,28331936,28332791,-,"{'ID': '534M_022.180', 'Name': '534M_022.180'}"
534M_022.179,chr1,28340829,28341272,-,"{'ID': '534M_022.179', 'Name': '534M_022.179'}"
534M_022.178,chr1,28351659,28353404,+,"{'ID': '534M_022.178', 'Name': '534M_022.178'}"
534M_022.177,chr1,28355536,28356279,-,"{'ID': '534M_022.177', 'Name': '534M_022.177'}"
534M_022.176,chr1,28360917,28369502,+,"{'ID': '534M_022.176', 'Name': '534M_022.176'}"
534M_022.175,chr1,28373194,28375581,-,"{'ID': '534M_022.175', 'Name': '534M_022.175'}"
534M_022.174,chr1,28382187,28384580,-,"{'ID': '534M_022.174', 'Name': '534M_022.174'}"
534M_022.173,chr1,28393846,28396191,+,"{'ID': '534M_022.173', 'Name': '534M_022.173'}"
534M_022.172,chr1,28413497,28415959,-,"{'ID': '534M_022.172', 'Name': '534M_022.172'}"
534M_022.171,chr1,28419378,28419746,+,"{'ID': '534M_022.171', 'Name': '534M_022.171'}"
534M_022.170,chr1,28440796,28443240,-,"{'ID': '534M_022.170', 'Name': '534M_022.170'}"
534M_022.169,chr1,28449305,28449727,+,"{'ID': '534M_022.169', 'Name': '534M_022.169'}"
534M_022.168,chr1,28450632,28452968,-,"{'ID': '534M_022.168', 'Name': '534M_022.168'}"
534M_022.167,chr1,28456713,28458545,+,"{'ID': '534M_022.167', 'Name': '534M_022.167'}"
534M_022.166,chr1,28460693,28463011,-,"{'ID': '534M_022.166', 'Name': '534M_022.166'}"
534M_022.165,chr1,28465528,28466085,-,"{'ID': '534M_022.165', 'Name': '534M_022.165'}"
534M_022.164,chr1,28466260,28471432,-,"{'ID': '534M_022.164', 'Name': '534M_022.164'}"
534M_022.163,chr1,28492331,28494498,-,"{'ID': '534M_022.163', 'Name': '534M_022.163'}"
534M_022.162,chr1,28504148,28505558,-,"{'ID': '534M_022.162', 'Name': '534M_022.162'}"
534M_022.161,chr1,28509807,28513949,-,"{'ID': '534M_022.161', 'Name': '534M_022.161'}"
534M_022.160,chr1,28520554,28523933,-,"{'ID': '534M_022.160', 'Name': '534M_022.160'}"
534M_022.159,chr1,28535823,28552621,+,"{'ID': '534M_022.159', 'Name': '534M_022.159'}"
534M_022.158,chr1,28555511,28558188,+,"{'ID': '534M_022.158', 'Name': '534M_022.158'}"
534M_022.157,chr1,28560898,28566207,-,"{'ID': '534M_022.157', 'Name': '534M_022.157'}"
534M_022.156,chr1,28578457,28583864,+,"{'ID': '534M_022.156', 'Name': '534M_022.156'}"
534M_022.155,chr1,28585080,28587194,-,"{'ID': '534M_022.155', 'Name': '534M_022.155'}"
534M_022.154,chr1,28608192,28608497,-,"{'ID': '534M_022.154', 'Name': '534M_022.154'}"
534M_022.153,chr1,28609827,28610078,+,"{'ID': '534M_022.153', 'Name': '534M_022.153'}"
534M_022.152,chr1,28613265,28614440,+,"{'ID': '534M_022.152', 'Name': '534M_022.152'}"
534M_022.151,chr1,28615595,28615864,-,"{'ID': '534M_022.151', 'Name': '534M_022.151'}"
534M_022.150,chr1,28617070,28623306,-,"{'ID': '534M_022.150', 'Name': '534M_022.150'}"
534M_022.149,chr1,28625545,28628137,-,"{'ID': '534M_022.149', 'Name': '534M_022.149'}"
534M_022.148,chr1,28633547,28634062,+,"{'ID': '534M_022.148', 'Name': '534M_022.148'}"
534M_022.147,chr1,28635982,28638503,-,"{'ID': '534M_022.147', 'Name': '534M_022.147'}"
534M_022.146,chr1,28652357,28655534,-,"{'ID': '534M_022.146', 'Name': '534M_022.146'}"
534M_022.145,chr1,28661172,28662170,-,"{'ID': '534M_022.145', 'Name': '534M_022.145'}"
534M_022.144,chr1,28663627,28670729,-,"{'ID': '534M_022.144', 'Name': '534M_022.144'}"
534M_022.143,chr1,28684999,28685385,+,"{'ID': '534M_022.143', 'Name': '534M_022.143'}"
534M_022.142,chr1,28687206,28691792,-,"{'ID': '534M_022.142', 'Name': '534M_022.142'}"
534M_022.141,chr1,28696234,28704479,+,"{'ID': '534M_022.141', 'Name': '534M_022.141'}"
534M_022.140,chr1,28704496,28710133,+,"{'ID': '534M_022.140', 'Name': '534M_022.140'}"
534M_022.139,chr1,28711306,28711527,+,"{'ID': '534M_022.139', 'Name': '534M_022.139'}"
534M_022.138,chr1,28713240,28715577,+,"{'ID': '534M_022.138', 'Name': '534M_022.138'}"
534M_022.137,chr1,28716646,28718420,-,"{'ID': '534M_022.137', 'Name': '534M_022.137'}"
534M_022.136,chr1,28725382,28726500,-,"{'ID': '534M_022.136', 'Name': '534M_022.136'}"
534M_022.135,chr1,28728905,28731526,-,"{'ID': '534M_022.135', 'Name': '534M_022.135'}"
534M_022.134,chr1,28748112,28749621,+,"{'ID': '534M_022.134', 'Name': '534M_022.134'}"
534M_022.133,chr1,28751886,28752767,-,"{'ID': '534M_022.133', 'Name': '534M_022.133'}"
534M_022.132,chr1,28790311,28791036,+,"{'ID': '534M_022.132', 'Name': '534M_022.132'}"
534M_022.131,chr1,28793281,28793691,-,"{'ID': '534M_022.131', 'Name': '534M_022.131'}"
534M_022.130,chr1,28803139,28803621,+,"{'ID': '534M_022.130', 'Name': '534M_022.130'}"
534M_022.129,chr1,28803935,28807241,-,"{'ID': '534M_022.129', 'Name': '534M_022.129'}"
534M_022.128,chr1,28819078,28820746,+,"{'ID': '534M_022.128', 'Name': '534M_022.128'}"
534M_022.127,chr1,28825764,28827834,+,"{'ID': '534M_022.127', 'Name': '534M_022.127'}"
534M_022.126,chr1,28829855,28830397,-,"{'ID': '534M_022.126', 'Name': '534M_022.126'}"
534M_022.125,chr1,28833335,28834391,-,"{'ID': '534M_022.125', 'Name': '534M_022.125'}"
534M_022.124,chr1,28835985,28836347,-,"{'ID': '534M_022.124', 'Name': '534M_022.124'}"
534M_022.123,chr1,28837918,28841357,+,"{'ID': '534M_022.123', 'Name': '534M_022.123'}"
534M_022.122,chr1,28843322,28847500,+,"{'ID': '534M_022.122', 'Name': '534M_022.122'}"
534M_022.121,chr1,28850906,28851244,-,"{'ID': '534M_022.121', 'Name': '534M_022.121'}"
534M_022.120,chr1,28852203,28853828,-,"{'ID': '534M_022.120', 'Name': '534M_022.120'}"
534M_022.119,chr1,28854216,28856945,+,"{'ID': '534M_022.119', 'Name': '534M_022.119'}"
534M_022.118,chr1,28869131,28871833,+,"{'ID': '534M_022.118', 'Name': '534M_022.118'}"
534M_022.117,chr1,28881997,28882460,+,"{'ID': '534M_022.117', 'Name': '534M_022.117'}"
534M_022.116,chr1,28883550,28886448,+,"{'ID': '534M_022.116', 'Name': '534M_022.116'}"
534M_022.115,chr1,28892259,28894592,-,"{'ID': '534M_022.115', 'Name': '534M_022.115'}"
534M_022.114,chr1,28896711,28899509,+,"{'ID': '534M_022.114', 'Name': '534M_022.114'}"
534M_022.113,chr1,28901586,28915173,-,"{'ID': '534M_022.113', 'Name': '534M_022.113'}"
534M_022.112,chr1,28916697,28918395,+,"{'ID': '534M_022.112', 'Name': '534M_022.112'}"
534M_022.111,chr1,28925483,28928730,-,"{'ID': '534M_022.111', 'Name': '534M_022.111'}"
534M_022.110,chr1,28930530,28931152,-,"{'ID': '534M_022.110', 'Name': '534M_022.110'}"
534M_022.109,chr1,28952115,28959264,+,"{'ID': '534M_022.109', 'Name': '534M_022.109'}"
534M_022.108,chr1,28970153,28974486,+,"{'ID': '534M_022.108', 'Name': '534M_022.108'}"
534M_022.107,chr1,28974971,28978141,+,"{'ID': '534M_022.107', 'Name': '534M_022.107'}"
534M_022.106,chr1,28979063,28980312,-,"{'ID': '534M_022.106', 'Name': '534M_022.106'}"
534M_022.105,chr1,28992529,28997145,+,"{'ID': '534M_022.105', 'Name': '534M_022.105'}"
534M_022.104,chr1,29003832,29004995,+,"{'ID': '534M_022.104', 'Name': '534M_022.104'}"
534M_022.103,chr1,29017392,29019794,+,"{'ID': '534M_022.103', 'Name': '534M_022.103'}"
534M_022.102,chr1,29021037,29021942,+,"{'ID': '534M_022.102', 'Name': '534M_022.102'}"
534M_022.101,chr1,29024890,29029998,-,"{'ID': '534M_022.101', 'Name': '534M_022.101'}"
534M_022.100,chr1,29037945,29040362,-,"{'ID': '534M_022.100', 'Name': '534M_022.100'}"
534M_022.99,chr1,29042138,29048945,-,"{'ID': '534M_022.99', 'Name': '534M_022.99'}"
534M_022.98,chr1,29052465,29057706,+,"{'ID': '534M_022.98', 'Name': '534M_022.98'}"
534M_022.97,chr1,29059372,29064252,-,"{'ID': '534M_022.97', 'Name': '534M_022.97'}"
534M_022.96,chr1,29068419,29073480,-,"{'ID': '534M_022.96', 'Name': '534M_022.96'}"
534M_022.95,chr1,29073923,29077233,-,"{'ID': '534M_022.95', 'Name': '534M_022.95'}"
534M_022.94,chr1,29080672,29083315,+,"{'ID': '534M_022.94', 'Name': '534M_022.94'}"
534M_022.93,chr1,29086230,29086580,-,"{'ID': '534M_022.93', 'Name': '534M_022.93'}"
534M_022.92,chr1,29088758,29089147,-,"{'ID': '534M_022.92', 'Name': '534M_022.92'}"
534M_022.91,chr1,29091691,29102265,-,"{'ID': '534M_022.91', 'Name': '534M_022.91'}"
534M_022.90,chr1,29110229,29114330,+,"{'ID': '534M_022.90', 'Name': '534M_022.90'}"
534M_022.89,chr1,29116983,29117249,-,"{'ID': '534M_022.89', 'Name': '534M_022.89'}"
534M_022.88,chr1,29117270,29117452,-,"{'ID': '534M_022.88', 'Name': '534M_022.88'}"
534M_022.87,chr1,29118969,29123447,-,"{'ID': '534M_022.87', 'Name': '534M_022.87'}"
534M_022.86,chr1,29123601,29123873,+,"{'ID': '534M_022.86', 'Name': '534M_022.86'}"
534M_022.85,chr1,29127206,29130620,+,"{'ID': '534M_022.85', 'Name': '534M_022.85'}"
534M_022.84,chr1,29133499,29134132,+,"{'ID': '534M_022.84', 'Name': '534M_022.84'}"
534M_022.83,chr1,29141245,29147781,+,"{'ID': '534M_022.83', 'Name': '534M_022.83'}"
534M_022.82,chr1,29171021,29175186,+,"{'ID': '534M_022.82', 'Name': '534M_022.82'}"
534M_022.81,chr1,29176310,29181775,-,"{'ID': '534M_022.81', 'Name': '534M_022.81'}"
534M_022.80,chr1,29183174,29184738,+,"{'ID': '534M_022.80', 'Name': '534M_022.80'}"
534M_022.79,chr1,29186009,29186867,+,"{'ID': '534M_022.79', 'Name': '534M_022.79'}"
534M_022.78,chr1,29190100,29190888,+,"{'ID': '534M_022.78', 'Name': '534M_022.78'}"
534M_022.77,chr1,29200090,29202887,+,"{'ID': '534M_022.77', 'Name': '534M_022.77'}"
534M_022.76,chr1,29209439,29209720,+,"{'ID': '534M_022.76', 'Name': '534M_022.76'}"
534M_022.75,chr1,29231127,29233762,+,"{'ID': '534M_022.75', 'Name': '534M_022.75'}"
534M_022.74,chr1,29234273,29237323,-,"{'ID': '534M_022.74', 'Name': '534M_022.74'}"
534M_022.73,chr1,29240856,29243961,-,"{'ID': '534M_022.73', 'Name': '534M_022.73'}"
534M_022.72,chr1,29244743,29245489,+,"{'ID': '534M_022.72', 'Name': '534M_022.72'}"
534M_022.71,chr1,29248032,29249174,+,"{'ID': '534M_022.71', 'Name': '534M_022.71'}"
534M_022.70,chr1,29259587,29271252,-,"{'ID': '534M_022.70', 'Name': '534M_022.70'}"
534M_022.69,chr1,29274815,29279879,+,"{'ID': '534M_022.69', 'Name': '534M_022.69'}"
534M_022.68,chr1,29281455,29285104,+,"{'ID': '534M_022.68', 'Name': '534M_022.68'}"
534M_022.67,chr1,29287708,29288274,+,"{'ID': '534M_022.67', 'Name': '534M_022.67'}"
534M_022.66,chr1,29299775,29301160,+,"{'ID': '534M_022.66', 'Name': '534M_022.66'}"
534M_022.65,chr1,29304251,29305663,+,"{'ID': '534M_022.65', 'Name': '534M_022.65'}"
534M_022.64,chr1,29308701,29313547,+,"{'ID': '534M_022.64', 'Name': '534M_022.64'}"
534M_022.63,chr1,29315048,29316394,+,"{'ID': '534M_022.63', 'Name': '534M_022.63'}"
534M_022.62,chr1,29318376,29320713,+,"{'ID': '534M_022.62', 'Name': '534M_022.62'}"
534M_022.61,chr1,29321378,29323367,-,"{'ID': '534M_022.61', 'Name': '534M_022.61'}"
534M_022.60,chr1,29326623,29328789,+,"{'ID': '534M_022.60', 'Name': '534M_022.60'}"
534M_022.59,chr1,29338851,29339096,-,"{'ID': '534M_022.59', 'Name': '534M_022.59'}"
